eff_distance_m,time_diff_s,same_type,causally_linked,both_person_type,both_at_home,any_unknown_anchor,same_user,min_user_ratio,sum_gps_error,label,source
99.0,266.0,1,0,0,0,0,0,0.556,17.5,1,عضوي موجب
236.2,23.0,1,0,0,0,0,0,0.769,85.2,1,تشتت واسع
6586.8,7381499.0,0,1,0,1,0,0,0.59,61.4,0,عضوي سالب
3629.9,3647678.0,0,0,0,0,1,0,0.802,39.8,0,عضوي سالب
6168.1,12862583.0,0,0,0,0,0,0,0.608,61.5,0,عضوي سالب
69.6,104.0,0,1,0,0,0,0,0.619,33.6,1,انفجار مركب
5043.5,16443067.0,0,0,0,0,0,0,0.873,36.4,0,عضوي سالب
290.4,206.0,0,1,0,0,0,0,0.854,48.7,0,حريق+طبي مستقلان
0.0,41.0,1,0,1,1,0,0,0.695,65.3,0,جيران طبيون
2537.6,16404467.0,1,0,0,0,0,0,0.76,57.3,0,عضوي سالب
217.8,64.0,0,1,0,1,0,0,0.781,34.2,0,حريق+طبي مستقلان
3739.7,22397690.0,1,0,1,0,0,0,0.812,59.2,0,عضوي سالب
9744.0,290593.0,1,0,0,0,1,0,0.608,66.3,0,عضوي سالب
24.9,53.0,1,0,0,0,0,0,0.762,73.2,1,عضوي موجب
1555.9,12923286.0,0,0,0,0,1,0,0.848,56.3,0,عضوي سالب
72.3,138.0,1,0,0,0,0,0,0.496,20.5,1,عضوي موجب
0.0,180.0,1,0,0,0,1,0,0.497,87.9,1,عضوي موجب
4224.0,3944299.0,1,0,0,0,0,0,0.788,68.8,0,عضوي سالب
0.0,41.0,1,0,0,0,0,0,0.637,48.2,1,حريقان متجاوران
66.1,164.0,1,0,0,0,0,0,0.812,35.4,1,عضوي موجب
313.0,4428548.0,1,0,1,1,0,0,0.729,30.3,0,عضوي سالب
5807.2,2584916.0,0,0,0,0,1,0,0.855,82.4,0,عضوي سالب
757.1,1490.7,0,1,0,0,0,1,0.798,69.1,0,نفس المستخدم حادثان
4160.4,14683735.0,0,1,0,0,0,0,0.73,43.0,0,عضوي سالب
564.1,1.0,1,0,0,0,0,0,0.81,41.7,0,حريقان متجاوران
0.0,100.0,1,0,0,1,0,0,0.749,56.3,1,انفجار مركب
0.0,313.0,1,0,0,0,0,0,0.872,67.6,1,عضوي موجب
4.5,797.6,1,0,0,0,0,0,0.651,38.3,1,مبلغ متأخر
9433.6,18875893.0,1,0,0,0,1,0,0.868,61.1,0,عضوي سالب
269.9,194.0,1,0,0,0,0,0,0.681,84.7,1,تشتت واسع
11632.5,11227154.0,0,1,0,0,1,0,0.739,30.4,0,عضوي سالب
52.9,215.0,1,0,0,0,0,0,0.674,45.4,1,عضوي موجب
5209.5,15540093.0,0,1,0,1,0,0,0.421,67.0,0,عضوي مع كاذب
332.4,104.0,1,0,0,0,0,0,0.618,34.9,0,حريقان متجاوران
6.6,103.0,1,0,1,0,1,0,0.804,42.7,1,عضوي موجب
2735.2,17030990.0,0,1,0,0,1,0,0.709,88.9,0,عضوي سالب
10928.3,18792285.0,1,0,0,0,1,0,0.679,46.7,0,عضوي سالب
78.3,247.0,1,0,0,0,0,0,0.722,75.7,1,عضوي موجب
8609.2,8276882.0,1,0,0,0,1,0,0.718,78.4,0,عضوي سالب
4049.3,6136909.0,0,1,0,0,1,0,0.388,43.7,0,عضوي مع كاذب
10027.4,1632646.0,0,0,0,0,0,0,0.55,97.7,0,عضوي سالب
3257.8,5252960.0,0,1,0,0,1,0,0.37,44.6,0,عضوي مع كاذب
0.0,39.0,0,1,0,0,0,0,0.649,37.5,1,انفجار مركب
3499.7,37434.0,0,1,0,0,0,0,0.812,63.2,0,عضوي سالب
84.8,251.0,1,0,0,0,0,0,0.911,43.8,1,عضوي موجب
5089.2,6005427.0,1,0,0,1,0,0,0.769,86.6,0,عضوي سالب
43.7,233.0,1,0,0,0,0,0,0.618,51.3,1,عضوي موجب
4626.2,3790162.0,0,1,0,0,0,0,0.527,89.4,0,عضوي سالب
0.4,423.0,1,0,0,0,0,0,0.837,30.1,1,عضوي موجب
2549.2,12211495.0,1,0,0,0,1,0,0.9,25.0,0,عضوي سالب
12.2,109.0,1,0,0,0,0,0,0.628,68.8,1,عضوي موجب
3717.2,19135000.0,0,0,0,0,1,0,0.595,63.4,0,عضوي سالب
9540.5,5033573.0,0,0,0,0,1,0,0.755,39.8,0,عضوي سالب
251.5,199.0,1,0,0,0,0,0,0.678,50.1,0,حريقان متجاوران
49.0,13.0,1,0,0,0,0,0,0.64,23.6,1,عضوي موجب
0.0,352.0,1,0,0,0,0,0,0.824,90.4,1,عضوي موجب
11.9,252.0,1,0,0,0,1,0,0.901,57.8,1,عضوي موجب
14.8,11.0,1,0,0,0,0,0,0.86,61.6,1,عضوي موجب
47.5,161.0,1,0,1,1,0,0,0.838,79.9,1,عضوي موجب
7884.5,14331938.0,0,0,0,0,1,0,0.876,23.5,0,عضوي سالب
35.0,89.0,1,0,0,0,1,0,0.73,33.7,1,عضوي موجب
0.0,260.0,1,0,0,0,0,0,0.779,73.6,1,عضوي موجب
177.1,1069.7,1,0,0,0,0,0,0.808,64.6,0,سلسلة حوادث سير
0.0,74.0,1,0,0,0,0,0,0.75,35.7,1,نفس المكان بفاصل زمني
60.3,48.0,1,0,0,0,0,0,0.639,86.8,1,تشتت واسع
28.9,308.0,1,0,0,0,0,0,0.752,57.4,1,عضوي موجب
25.4,132.0,1,0,0,0,0,0,0.636,55.2,1,عضوي موجب
0.0,98.0,1,0,0,0,0,0,0.689,54.6,1,نفس المكان بفاصل زمني
463.2,16685062.0,0,0,0,0,0,0,0.769,91.2,0,عضوي سالب
11.4,84.0,1,0,0,0,0,0,0.674,24.8,1,حريق+طبي مستقلان
0.0,131.0,1,0,1,0,0,1,0.494,68.4,1,عضوي موجب
124.4,19077971.0,1,0,0,0,1,0,0.738,44.1,0,عضوي سالب
2261.3,2239219.0,1,0,1,0,0,0,0.81,24.3,0,عضوي سالب
2701.3,8527992.0,0,0,0,0,1,0,0.857,45.1,0,عضوي سالب
4907.4,946203.0,0,1,0,0,0,0,0.804,26.4,0,عضوي سالب
51.2,137.0,0,0,0,0,0,0,0.898,29.6,1,انفجار مركب
0.0,937.7,1,0,0,0,0,0,0.848,34.7,0,نفس المكان بفاصل زمني
1310.6,22964191.0,0,1,0,0,0,0,0.81,67.8,0,عضوي سالب
68.6,177.0,1,0,0,0,1,0,0.737,84.3,1,عضوي موجب
0.0,25.0,1,0,1,1,0,0,0.783,50.2,0,جيران طبيون
651.3,60.0,1,0,0,0,0,0,0.678,87.3,1,تشتت واسع
14.3,219.0,1,0,0,0,0,0,0.737,80.1,1,عضوي موجب
4275.6,2125118.0,0,1,0,0,0,0,0.848,67.8,0,عضوي سالب
178.6,222.0,1,0,0,0,1,0,0.646,44.3,1,مشاهدون بعيدون
3206.4,6547799.0,0,1,0,0,0,0,0.581,57.0,0,عضوي سالب
0.0,2491.5,1,0,0,0,0,0,0.809,22.6,0,نفس المكان بفاصل زمني
3857.6,5803285.0,0,1,0,0,0,0,0.748,59.8,0,عضوي سالب
161.5,30.0,0,1,0,0,0,0,0.61,36.9,0,حريق+طبي مستقلان
191.9,467.5,1,0,0,0,0,0,0.603,54.4,0,سلسلة حوادث سير
294.4,206.0,0,1,0,0,0,0,0.906,22.8,0,حريق+طبي مستقلان
0.0,13.0,1,0,1,0,0,0,0.86,87.5,1,عضوي موجب
3344.7,9649870.0,1,0,0,0,1,0,0.866,55.5,0,عضوي سالب
41.6,722.4,1,0,0,0,0,0,0.608,51.1,1,مبلغ متأخر
3604.0,14923855.0,1,0,0,0,0,0,0.852,92.5,0,عضوي سالب
0.0,80.0,1,0,0,0,0,0,0.854,28.8,1,كاذب انتهازي
38.5,247.0,1,0,0,0,0,0,0.616,30.1,1,عضوي موجب
60.1,74.0,1,0,1,1,0,0,0.617,49.4,1,عضوي موجب
193.3,391.0,1,0,0,0,1,0,0.772,44.8,1,مشاهدون بعيدون
35.4,77.0,1,0,0,0,0,0,0.659,52.6,1,عضوي موجب
14.9,80.0,1,0,0,0,0,0,0.669,63.8,1,عضوي موجب
48.4,18.0,1,0,0,0,0,0,0.737,45.8,1,عضوي موجب
11.5,154.0,1,0,0,0,0,0,0.607,94.7,1,عضوي موجب
31.4,28.0,1,0,0,0,0,0,0.707,36.4,1,عضوي موجب
317.0,112.0,1,0,0,0,0,0,0.847,20.0,0,حريقان متجاوران
2935.8,17556861.0,0,1,0,0,0,0,0.707,56.7,0,عضوي سالب
7661.3,9480121.0,0,1,0,0,0,0,0.883,57.8,0,عضوي سالب
0.0,232.0,1,0,0,0,0,0,0.752,62.3,1,عضوي موجب
29.3,3.0,1,0,0,0,0,0,0.884,63.5,1,عضوي موجب
260.8,96.0,1,0,0,0,0,0,0.655,83.2,1,تشتت واسع
0.0,142.0,1,0,0,0,0,0,0.618,57.8,1,عضوي موجب
0.0,1219.5,1,0,0,0,0,0,0.668,26.8,0,نفس المكان بفاصل زمني
72.4,274.0,1,0,0,0,0,0,0.784,76.2,1,عضوي موجب
18.2,124.0,1,0,0,0,0,0,0.905,66.9,1,عضوي موجب
585.5,148.0,1,0,0,0,0,0,0.731,90.1,1,تشتت واسع
28.7,165.0,1,0,1,1,0,0,0.797,32.6,1,عضوي موجب
0.0,331.0,1,0,0,0,0,0,0.779,83.2,1,عضوي موجب
3383.0,19016159.0,0,0,0,0,1,0,0.496,46.4,0,عضوي سالب
1777.3,7551173.0,0,1,0,0,0,0,0.868,49.0,0,عضوي سالب
9994.4,27150194.0,0,1,0,0,0,0,0.827,31.9,0,عضوي سالب
59.6,297.0,1,0,0,0,0,0,0.772,38.9,1,عضوي موجب
104.4,130.0,1,0,0,0,1,0,0.494,46.2,1,عضوي موجب
6750.9,24504608.0,0,0,0,0,0,0,0.841,54.0,0,عضوي سالب
4.6,102.0,1,0,0,0,0,0,0.443,65.5,1,عضوي موجب
4.9,122.0,1,0,0,0,0,0,0.817,59.5,1,عضوي موجب
0.0,180.0,1,0,1,1,0,0,0.932,52.1,1,عضوي موجب
0.0,4.0,1,0,0,0,1,0,0.515,80.7,1,عضوي موجب
0.0,110.0,1,0,0,0,0,0,0.874,81.2,1,عضوي موجب
19.8,168.0,1,0,0,0,0,0,0.722,82.8,1,عضوي موجب
1.0,143.0,1,0,0,0,0,0,0.64,73.9,1,تشتت واسع
0.0,79.0,1,0,0,0,0,0,0.861,91.8,1,عضوي موجب
0.0,280.0,1,0,0,0,0,0,0.443,83.5,1,عضوي موجب
1617.6,4041419.0,0,1,0,0,0,0,0.227,71.8,0,عضوي مع كاذب
3920.2,10387039.0,0,0,0,0,0,0,0.196,32.4,0,عضوي مع كاذب
267.1,278.0,1,0,0,0,1,0,0.725,30.9,1,مشاهدون بعيدون
7.0,146.0,1,0,0,0,0,0,0.595,55.4,1,عضوي موجب
0.0,178.0,1,0,0,0,1,0,0.719,64.2,1,عضوي موجب
0.0,65.0,1,0,0,0,0,0,0.718,64.3,1,حريق+طبي مستقلان
18.9,61.0,1,0,1,0,1,0,0.614,58.9,1,عضوي موجب
32.6,54.0,1,0,0,0,0,0,0.664,32.6,1,عضوي موجب
0.0,103.0,1,0,0,0,0,0,0.613,83.9,1,تشتت واسع
1838.5,21085969.0,1,0,0,0,1,0,0.809,63.5,0,عضوي سالب
0.0,142.0,1,0,0,0,1,0,0.807,41.8,1,عضوي موجب
0.0,131.0,1,0,0,0,1,0,0.861,47.8,1,عضوي موجب
32.6,148.0,1,0,0,0,0,0,0.604,23.4,1,عضوي موجب
535.3,146.0,1,0,0,0,0,0,0.698,79.8,1,تشتت واسع
279.2,162.0,1,0,0,0,0,0,0.672,19.8,0,حريقان متجاوران
0.0,51.0,1,0,0,0,0,0,0.6,31.2,1,حريقان متجاوران
273.3,119.0,1,0,0,0,1,0,0.644,20.3,1,مشاهدون بعيدون
1903.1,4992077.0,0,1,0,0,0,0,0.719,81.5,0,عضوي سالب
0.0,964.8,1,0,0,0,0,0,0.724,25.1,1,مبلغ متأخر
15.2,155.0,1,0,0,0,0,0,0.733,23.9,1,انفجار مركب
3537.7,11690837.0,1,0,0,0,0,0,0.748,83.4,0,عضوي سالب
0.0,161.0,1,0,1,1,0,1,0.797,53.8,1,عضوي موجب
17.3,46.0,1,0,0,0,0,0,0.92,25.0,1,عضوي موجب
3295.2,2169793.0,0,1,0,0,1,0,0.783,58.1,0,عضوي سالب
467.3,78.0,1,0,0,0,0,0,0.858,72.7,1,تشتت واسع
0.0,1932.3,1,0,0,0,0,0,0.637,43.2,0,نفس المكان بفاصل زمني
142.2,275.0,1,0,0,0,0,0,0.65,81.1,1,تشتت واسع
69.8,7.0,1,0,0,0,1,0,0.094,39.5,0,كاذب انتهازي
5401.7,20223831.0,0,1,0,0,0,0,0.857,82.0,0,عضوي سالب
104.1,226.0,1,0,0,0,1,0,0.641,38.5,1,عضوي موجب
178.5,21.0,0,1,0,0,0,0,0.61,34.4,0,حريق+طبي مستقلان
0.0,410.0,1,0,0,0,0,0,0.8,76.9,1,عضوي موجب
1948.2,22768394.0,0,0,0,0,0,0,0.859,46.2,0,عضوي سالب
4585.4,2956603.0,0,1,0,0,0,0,0.7,58.4,0,عضوي سالب
0.0,71.0,1,0,0,0,0,0,0.654,21.9,1,نفس المكان بفاصل زمني
222.0,192.0,1,0,0,0,0,0,0.769,95.0,1,تشتت واسع
56.7,144.0,1,0,0,0,0,0,0.718,21.4,1,مشاهدون بعيدون
10.7,305.0,1,0,0,0,1,0,0.722,73.2,1,عضوي موجب
447.3,181.0,1,0,0,0,0,0,0.653,36.6,0,حريقان متجاوران
0.0,292.0,1,0,0,0,0,0,0.661,84.0,1,تشتت واسع
120.6,167.0,1,0,0,0,0,0,0.861,38.8,1,عضوي موجب
24.1,73.0,1,0,1,0,0,0,0.888,65.2,1,عضوي موجب
99.8,71.0,1,0,0,0,0,0,0.734,42.3,1,عضوي موجب
104.5,94.0,1,0,0,0,1,0,0.681,56.6,1,عضوي موجب
257.3,198.0,0,1,0,0,0,0,0.743,20.3,0,حريق+طبي مستقلان
0.0,203.0,1,0,0,0,1,0,0.835,50.7,1,عضوي موجب
5940.4,25932026.0,0,1,0,0,0,0,0.778,61.2,0,عضوي سالب
0.0,79.0,1,0,0,0,0,0,0.692,81.9,1,عضوي موجب
584.9,4541044.0,0,1,0,0,0,0,0.923,57.9,0,عضوي سالب
138.8,131.0,1,0,0,0,0,0,0.777,57.0,1,عضوي موجب
0.0,53.0,1,0,1,1,0,0,0.631,58.5,0,جيران طبيون
57.8,213.0,1,0,0,0,0,0,0.718,66.7,1,عضوي موجب
2642.8,16961950.0,0,0,0,1,0,0,0.761,31.4,0,عضوي سالب
0.0,57.0,1,0,0,0,0,0,0.788,51.5,1,عضوي موجب
0.0,16.0,1,0,0,0,0,0,0.868,40.3,1,عضوي موجب
0.0,146.0,1,0,0,0,1,0,0.752,52.0,1,عضوي موجب
1245.9,7670536.0,0,0,0,0,0,0,0.797,63.6,0,عضوي سالب
0.0,138.0,1,0,0,0,0,0,0.711,29.0,1,نفس المكان بفاصل زمني
0.0,20.0,1,0,0,0,0,0,0.649,76.6,1,تشتت واسع
0.0,196.0,1,0,0,0,0,0,0.693,27.1,1,عضوي موجب
5601.4,1160607.0,0,1,0,0,0,0,0.458,69.1,0,عضوي سالب
4613.6,2145168.0,1,0,0,0,1,0,0.738,53.2,0,عضوي سالب
49.2,61.0,1,0,0,0,0,0,0.819,66.6,1,عضوي موجب
12.1,333.0,1,0,0,0,1,0,0.857,66.8,1,عضوي موجب
68.4,339.0,1,0,0,0,1,0,0.685,47.2,1,عضوي موجب
1668.8,26332338.0,0,1,0,0,0,0,0.626,49.2,0,عضوي سالب
40.0,270.0,1,0,0,0,0,0,0.789,41.3,1,عضوي موجب
213.3,92.0,1,0,0,0,0,0,0.723,83.2,1,تشتت واسع
11083.1,20088630.0,0,1,0,0,1,0,0.662,25.0,0,عضوي سالب
60.0,180.0,1,0,0,1,0,0,0.55,61.1,1,عضوي موجب
1399.6,12891036.0,0,1,0,0,0,0,0.784,58.0,0,عضوي سالب
4.7,98.0,1,0,0,0,0,0,0.585,29.7,1,عضوي موجب
3830.3,12725542.0,0,1,0,0,0,0,0.611,57.1,0,عضوي سالب
0.0,274.0,1,0,1,1,0,0,0.708,25.0,1,عضوي موجب
0.0,599.7,1,0,0,0,0,0,0.74,24.8,1,مبلغ متأخر
12480.9,6324720.0,0,0,0,0,0,0,0.804,44.3,0,عضوي سالب
0.0,209.0,1,0,0,0,0,0,0.861,41.1,1,عضوي موجب
80.1,110.0,1,0,0,0,0,0,0.799,21.9,1,عضوي موجب
7515.5,5847689.0,0,1,0,0,0,0,0.699,36.8,0,عضوي سالب
87.5,69.0,1,0,0,0,1,0,0.73,31.3,1,عضوي موجب
461.7,37.0,1,0,0,0,0,0,0.659,40.1,0,حريقان متجاوران
0.0,2288.7,1,0,0,0,0,0,0.748,51.0,0,نفس المكان بفاصل زمني
0.0,53.0,1,0,0,0,1,0,0.497,78.5,1,عضوي موجب
460.8,77.0,1,0,0,0,0,0,0.728,43.2,0,حريقان متجاوران
11.1,227.0,1,0,0,0,0,0,0.73,68.5,1,تشتت واسع
5673.6,6296128.0,0,1,0,0,0,0,0.681,83.4,0,عضوي سالب
0.0,104.0,1,0,0,0,0,0,0.703,34.1,1,نفس المكان بفاصل زمني
0.0,264.0,0,1,0,0,0,0,0.651,56.5,1,انفجار مركب
1492.9,10630158.0,1,0,1,0,0,0,0.327,57.7,0,عضوي مع كاذب
5297.8,263385.0,1,0,0,0,1,0,0.311,28.0,0,عضوي مع كاذب
0.0,57.0,1,0,0,0,0,0,0.618,67.5,1,عضوي موجب
0.0,228.0,1,0,0,0,0,0,0.874,47.8,1,عضوي موجب
7.2,295.0,1,0,0,0,0,0,0.861,60.4,1,عضوي موجب
104.6,80.0,1,0,1,0,0,0,0.659,12.6,1,عضوي موجب
3344.4,8657576.0,0,1,0,0,0,0,0.783,84.7,0,عضوي سالب
28.9,24.0,1,0,0,0,0,0,0.582,55.0,1,عضوي موجب
74.7,310.0,1,0,0,0,0,0,0.788,64.3,1,عضوي موجب
77.7,43.0,1,0,0,0,0,0,0.748,85.2,1,عضوي موجب
86.5,59.0,1,0,0,0,0,0,0.698,42.0,1,عضوي موجب
9026.5,6227302.0,0,1,0,0,0,0,0.235,36.6,0,عضوي مع كاذب
0.0,223.0,1,0,0,0,1,0,0.885,44.5,1,عضوي موجب
0.0,425.0,1,0,0,0,0,0,0.683,44.4,1,عضوي موجب
0.0,33.0,1,0,1,1,0,0,0.778,58.5,0,جيران طبيون
9.1,7.0,1,0,0,0,0,0,0.754,96.2,1,عضوي موجب
1574.4,18119328.0,1,0,0,0,1,0,0.68,40.7,0,عضوي سالب
0.0,24.0,1,0,0,0,1,0,0.659,39.4,1,عضوي موجب
0.0,41.0,1,0,0,0,0,0,0.874,58.5,1,عضوي موجب
1619.6,3626628.0,0,0,0,0,0,0,0.588,46.0,0,عضوي سالب
336.1,15.0,1,0,0,0,0,0,0.641,79.7,1,تشتت واسع
4268.5,16668271.0,0,1,0,0,0,0,0.461,42.3,0,عضوي سالب
54.3,275.0,1,0,0,0,0,0,0.76,21.1,1,عضوي موجب
38.0,190.0,1,0,1,0,0,0,0.734,69.3,1,عضوي موجب
15.5,1296.5,1,0,0,0,0,0,0.604,18.3,0,نفس المكان بفاصل زمني
7.0,253.0,1,0,0,0,0,0,0.88,40.1,1,عضوي موجب
5329.1,2508992.0,0,0,0,1,0,0,0.489,54.6,0,عضوي سالب
0.0,198.0,1,0,0,0,0,0,0.626,60.3,1,عضوي موجب
3926.8,22017050.0,1,0,1,1,0,0,0.708,49.5,0,عضوي سالب
142.4,125.0,1,0,0,0,0,0,0.828,84.0,1,تشتت واسع
17.3,46.0,1,0,0,0,0,0,0.66,26.2,1,حريق+طبي مستقلان
0.0,189.0,1,0,0,0,0,0,0.72,62.8,1,عضوي موجب
4370.8,1248134.0,0,0,0,0,0,0,0.682,51.7,0,عضوي سالب
3816.6,27772922.0,0,0,0,0,0,0,0.8,56.5,0,عضوي سالب
409.0,220.0,1,0,0,0,0,0,0.619,76.7,1,تشتت واسع
53.2,65.0,1,0,0,0,1,0,0.905,32.8,1,عضوي موجب
2461.4,3456065.0,1,0,1,0,1,0,0.774,66.2,0,عضوي سالب
206.9,100.0,1,0,0,0,0,0,0.908,89.7,1,تشتت واسع
4694.5,4721996.0,0,0,0,0,0,0,0.65,35.6,0,عضوي سالب
246.5,209.0,1,0,0,0,0,0,0.887,93.0,1,تشتت واسع
5499.2,26430246.0,0,1,0,0,0,0,0.734,68.5,0,عضوي سالب
16.2,175.0,1,0,0,0,0,0,0.796,33.2,1,عضوي موجب
752.7,4286758.0,0,0,0,0,1,0,0.532,40.6,0,عضوي سالب
24.8,345.0,1,0,0,0,1,0,0.858,73.6,1,عضوي موجب
2333.9,7407621.0,0,0,0,0,0,0,0.724,71.6,0,عضوي سالب
113.8,151.0,1,0,0,0,1,0,0.911,30.5,1,عضوي موجب
0.4,609.0,1,0,0,0,0,0,0.837,30.1,1,عضوي موجب
0.0,62.0,1,0,1,1,0,0,0.609,52.5,0,جيران طبيون
59.0,101.0,1,0,0,0,0,0,0.859,24.9,1,عضوي موجب
42.1,171.0,1,0,0,0,0,0,0.494,49.6,1,عضوي موجب
47.2,404.0,1,0,0,0,0,0,0.666,95.0,1,عضوي موجب
132.1,119.0,1,0,0,0,0,0,0.616,18.6,1,عضوي موجب
0.0,77.0,1,0,0,0,0,0,0.755,47.3,1,انفجار مركب
0.0,84.0,1,0,0,1,0,0,0.608,89.2,1,عضوي موجب
0.0,222.0,0,1,0,0,0,0,0.746,50.9,1,انفجار مركب
5810.8,1105325.0,0,0,0,0,1,0,0.748,80.4,0,عضوي سالب
0.0,1520.8,1,0,0,0,0,0,0.657,46.2,0,نفس المكان بفاصل زمني
427.2,304.0,1,0,0,0,0,0,0.803,24.0,0,حريقان متجاوران
320.3,182.0,1,0,0,0,0,0,0.769,68.8,1,تشتت واسع
41.3,182.0,1,0,0,0,0,0,0.844,60.9,1,عضوي موجب
4318.2,1831498.0,0,0,0,0,1,0,0.734,24.7,0,عضوي سالب
74.8,214.0,1,0,1,0,0,0,0.772,73.9,1,عضوي موجب
14.3,184.0,1,0,0,0,0,0,0.85,76.1,1,عضوي موجب
58.1,323.0,1,0,0,0,0,0,0.838,55.6,1,عضوي موجب
35.4,210.0,1,0,0,0,0,0,0.748,41.4,1,عضوي موجب
0.0,50.0,1,0,0,0,1,0,0.778,81.2,1,عضوي موجب
6715.1,9787327.0,0,0,0,0,1,0,0.639,70.8,0,عضوي سالب
10.8,255.0,1,0,0,0,0,0,0.855,65.6,1,عضوي موجب
36.8,57.0,1,0,0,0,0,0,0.788,41.6,1,عضوي موجب
7.1,273.0,1,0,0,0,0,0,0.611,33.1,1,عضوي موجب
8162.6,4672646.0,0,1,0,0,0,0,0.527,72.5,0,عضوي سالب
443.6,54.0,1,0,0,0,0,0,0.642,66.5,1,تشتت واسع
111.8,251.0,1,0,0,0,0,0,0.679,91.0,1,تشتت واسع
10.2,146.0,1,0,0,0,1,0,0.753,40.3,1,عضوي موجب
0.0,77.0,1,0,0,0,1,0,0.757,40.2,1,عضوي موجب
5131.0,30070556.0,0,0,0,0,0,0,0.489,36.3,0,عضوي سالب
72.4,245.0,1,0,0,0,0,0,0.498,25.8,1,عضوي موجب
56.7,49.0,1,0,0,0,0,0,0.698,48.7,1,عضوي موجب
0.0,108.0,1,0,0,0,1,0,0.788,47.8,1,عضوي موجب
6193.6,7365396.0,1,0,0,0,1,0,0.339,40.2,0,عضوي مع كاذب
191.7,145.0,1,0,0,0,0,0,0.661,82.7,1,تشتت واسع
439.2,27.0,1,0,0,0,0,0,0.657,90.0,1,تشتت واسع
0.0,335.0,1,0,0,0,0,0,0.669,79.0,1,عضوي موجب
4.4,85.0,1,0,0,0,0,0,0.65,39.2,1,حريق+طبي مستقلان
