report_id,incident_id,is_fake,latitude,longitude,gps_accuracy,timestamp,incident_type,citizen_severity,incident_anchor,injured_count,injured_unknown,is_witness,has_media,submission_method,user_id,user_true_report_ratio,true_severity,fake_style
RPT-01067,INC-0397,0,33.515082,36.288915,18.8,2026-10-09 18:27:03,road,high,seeing_it,0,False,False,False,sos,USR-0655,0.565,medium,
RPT-02411,INC-0857,0,33.528373,36.290681,26.7,2026-01-25 11:07:28,fire,medium,seeing_it,0,False,False,True,full_form,USR-0040,0.719,medium,
RPT-00123,INC-0051,0,33.565779,36.251591,44.4,2026-08-14 11:33:00,medical,medium,seeing_it,3,False,False,False,sos,USR-0031,0.899,high,
RPT-02025,INC-0738,0,33.499053,36.320293,26.2,2026-05-07 11:08:38,medical,low,at_home,2,False,False,False,sos,USR-0527,0.957,low,
RPT-02990,INC-1071,0,33.540158,36.293162,36.9,2026-03-25 11:27:07,medical,critical,seeing_it,,True,False,False,full_form,USR-0564,0.959,critical,
RPT-03646,INC-1311,0,33.564866,36.222058,18.1,2026-11-07 20:33:16,road,low,seeing_it,1,False,False,False,full_form,USR-0129,0.711,low,
RPT-04160,,1,33.518485,36.274444,24.7,2026-10-23 22:10:07,medical,critical,unknown,4,False,False,False,full_form,USR-0206,0.766,,smart
RPT-01687,INC-0616,0,33.543206,36.308454,24.6,2026-03-13 20:45:03,medical,high,at_home,,True,False,False,full_form,USR-0071,0.928,high,
RPT-00967,INC-0358,0,33.512239,36.289736,41.8,2026-12-09 12:59:04,road,critical,seeing_it,2,False,False,False,full_form,USR-0374,0.883,critical,
RPT-00781,INC-0295,0,33.542761,36.292697,48.2,2026-04-25 15:01:48,road,medium,unknown,,True,False,False,sos,USR-0744,0.888,low,
RPT-01408,INC-0533,0,33.536528,36.296525,23.3,2026-07-02 00:27:14,collapse,critical,seeing_it,3,False,False,True,voice,USR-0225,0.804,critical,
RPT-01097,INC-0413,0,33.52688,36.311232,29.0,2026-10-10 09:57:30,road,high,seeing_it,2,False,False,True,sos,USR-0528,0.904,high,
RPT-00045,INC-0020,0,33.535068,36.293039,12.7,2026-11-07 08:48:48,rescue,medium,seeing_it,3,False,False,False,voice,USR-0558,0.619,medium,
RPT-04164,,1,33.513104,36.2807,47.8,2026-06-17 10:24:29,fire,low,unknown,,True,False,False,sos,FKR-0043,0.338,,classic
RPT-03569,INC-1288,0,33.529151,36.301901,12.6,2026-10-21 09:03:58,fire,critical,seeing_it,6,False,False,True,sos,USR-0198,0.804,high,
RPT-01483,INC-0556,0,33.561009,36.237795,44.0,2026-09-21 17:53:04,fire,medium,at_home,,True,False,False,full_form,USR-0366,0.896,medium,
RPT-03828,INC-1395,0,33.518434,36.281393,38.0,2026-09-08 11:21:12,road,medium,seeing_it,,True,False,False,full_form,USR-0285,0.844,critical,
RPT-00077,INC-0032,0,33.502073,36.267158,39.5,2026-12-26 20:27:01,medical,high,at_home,,True,False,False,full_form,USR-0108,0.928,high,
RPT-01139,INC-0428,0,33.546886,36.253483,16.0,2026-08-27 07:52:54,medical,medium,seeing_it,6,False,True,True,full_form,USR-0797,0.772,high,
RPT-01722,INC-0626,0,33.496852,36.318291,17.7,2026-01-01 20:17:27,road,medium,unknown,1,False,False,True,full_form,USR-0675,0.55,low,
RPT-02059,INC-0747,0,33.528403,36.306784,27.9,2026-04-01 15:58:07,road,medium,seeing_it,0,False,False,True,sos,USR-0187,0.89,low,
RPT-01265,INC-0468,0,33.515883,36.277602,24.6,2026-07-19 08:55:21,rescue,critical,seeing_it,,True,False,True,voice,USR-0464,0.725,critical,
RPT-03905,INC-1417,0,33.524104,36.302065,38.3,2026-09-10 15:33:11,police,low,seeing_it,1,False,True,True,sos,USR-0648,0.838,low,
RPT-03480,INC-1258,0,33.522125,36.290899,28.0,2026-09-09 08:33:34,medical,low,at_home,0,False,False,False,full_form,USR-0661,0.882,low,
RPT-03683,INC-1331,0,33.516309,36.28989,46.7,2026-10-20 19:00:01,road,high,unknown,,True,False,False,full_form,USR-0653,0.859,low,
RPT-04062,INC-1481,0,33.514321,36.269763,35.3,2026-06-15 12:04:46,medical,high,at_home,4,False,False,False,sos,USR-0733,0.722,high,
RPT-02190,INC-0788,0,33.518771,36.274264,39.6,2026-04-12 01:59:39,rescue,low,at_home,,True,False,True,full_form,USR-0165,0.704,high,
RPT-03458,INC-1254,0,33.506343,36.264933,5.6,2026-09-08 19:54:54,fire,critical,seeing_it,2,False,False,False,sos,USR-0011,0.844,critical,
RPT-00908,INC-0339,0,33.532554,36.288113,42.2,2026-09-26 10:47:17,medical,medium,at_home,0,False,False,False,sos,USR-0681,0.821,medium,
RPT-01156,INC-0431,0,33.499292,36.315996,9.8,2026-07-03 09:00:09,fire,medium,seeing_it,1,False,True,False,sos,USR-0518,0.779,medium,
RPT-01438,INC-0543,0,33.510811,36.262702,43.2,2026-04-04 20:41:08,road,critical,seeing_it,0,False,True,True,full_form,USR-0712,0.724,high,
